name,tags,rating
Git Gud,"['brute force', 'constructive algorithms', 'divide and conquer', 'math', 'ternary search']",2400.0
Adjusting Drones,"['binary search', 'brute force', 'data structures', 'dp', 'dsu', 'greedy', 'implementation', 'sortings']",1900.0
Billion Players Game,"['binary search', 'greedy', 'math', 'sortings', 'ternary search', 'two pointers']",1600.0
Meximum Array 2,"['constructive algorithms', 'greedy', 'implementation', 'math']",1400.0
Expansion Plan 2,"['implementation', 'math']",900.0
Dungeon Equilibrium,"['greedy', 'implementation', 'sortings']",800.0
Strange Operation (Hard Version),"['data structures', 'greedy', 'trees']",3000.0
Strange Operation (Easy Version),"['brute force', 'data structures', 'greedy', 'implementation', 'sortings']",2200.0
Best Time to Buy and Sell Stock,"['binary search', 'brute force', 'data structures', 'dp', 'games', 'graphs', 'greedy']",2500.0
Find the Last Number,"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']",1900.0
Maximum GCD on Whiteboard,"['greedy', 'math', 'number theory']",1400.0
Strange Machine,"['binary search', 'brute force', 'greedy', 'implementation']",1000.0
Pizza Time,"['brute force', 'constructive algorithms', 'greedy']",800.0
Juan's Colorful Tree,"['data structures', 'dfs and similar', 'dfs and similar', 'dsu', 'graphs', 'graphs', 'meet-in-the-middle', 'trees']",2800.0
Mimo & Yuyu,"['games', 'greedy', 'math']",2200.0
Batteries,"['brute force', 'constructive algorithms', 'graph matchings', 'graphs', 'interactive', 'math']",1800.0
The Ancient Wizards' Capes,"['brute force', 'greedy', 'implementation']",1500.0
Abraham's Great Escape,"['constructive algorithms', 'graphs']",1100.0
El fucho,"['implementation', 'math']",800.0
Bombing (Hard Version),"['combinatorics', 'dp']",3300.0
Bombing (Easy Version),"['brute force', 'combinatorics', 'constructive algorithms', 'implementation', 'math']",2700.0
No Mind To Think,"['binary search', 'divide and conquer', 'greedy', 'sortings', 'ternary search', 'two pointers']",2500.0
Catshock,"['constructive algorithms', 'dfs and similar', 'graphs', 'trees', 'two pointers']",1900.0
No Cost Too Great (Hard Version),"['greedy', 'math', 'number theory']",2000.0
No Cost Too Great (Easy Version),"['greedy', 'implementation', 'math', 'number theory']",1400.0
Make it Zigzag,"['constructive algorithms', 'greedy']",1000.0
Notelock,"['greedy', 'two pointers']",800.0
Odd Queries on Odd Array,"['bitmasks', 'brute force', 'data structures', 'implementation', 'trees']",2900.0
Zero Trailing Factorial,"['brute force', 'math', 'number theory']",2400.0
Not Alone,"['dp', 'greedy']",1800.0
Symmetrical Polygons,"['constructive algorithms', 'geometry', 'greedy', 'implementation', 'sortings']",1500.0
Bitwise Reversion,"['bitmasks', 'greedy']",800.0
Circle of Apple Trees,"['greedy', 'sortings']",800.0
Victorious Coloring (Hard Version),"['data structures', 'greedy', 'schedules']",3500.0
Victorious Coloring (Easy Version),"['dfs and similar', 'dp', 'greedy']",2900.0
Query Jungle,"['data structures', 'implementation', 'math', 'matrices', 'trees']",2900.0
Triple Attack,"['data structures', 'greedy']",2500.0
Monotone Subsequence,"['constructive algorithms', 'graphs', 'greedy', 'interactive', 'math']",2100.0
Division Versus Addition,"['games', 'greedy', 'math']",1700.0
Triple Removal,"['data structures', 'greedy', 'math']",1400.0
Catching the Krug,['games'],1300.0
Increase or Smash,"['greedy', 'implementation']",800.0
Incremental Stay,"['greedy', 'implementation', 'math']",1400.0
Incremental Subarray,"['math', 'strings']",800.0
Counting Is Fun: The Finale,"['combinatorics', 'implementation']",3500.0
Cycle Closing,"['constructive algorithms', 'graphs', 'implementation', 'shortest paths', 'trees']",3000.0
Hidden Single (Version 2),"['binary search', 'divide and conquer', 'interactive', 'math', 'probabilities']",2800.0
Hidden Single (Version 1),"['divide and conquer', 'interactive', 'math', 'probabilities', 'sortings']",2600.0
Attraction Theory,"['combinatorics', 'dp', 'math']",2700.0
Limited Edition Shop,"['data structures', 'dp']",2100.0
Grid Counting,"['combinatorics', 'implementation', 'math']",1700.0
Incremental Path,"['data structures', 'hashing', 'implementation']",1300.0
Buratsuta 3,"['binary search', 'brute force', 'data structures', 'divide and conquer', 'probabilities']",2100.0
Nezuko in the Clearing,"['binary search', 'math', 'ternary search']",1900.0
Hidden Knowledge of the Ancients,"['data structures', 'two pointers']",1500.0
A and B,['strings'],1200.0
MEX rose,['greedy'],900.0
Unconventional Pairs,"['greedy', 'sortings']",800.0
Be Positive,['math'],800.0
Farmer John's Last Wish,"['binary search', 'data structures', 'math', 'number theory']",1900.0
Gravity Falls,"['greedy', 'implementation', 'sortings']",1800.0
Split,"['binary search', 'data structures', 'two pointers']",1200.0
Destruction of the Dandelion Fields,"['constructive algorithms', 'greedy', 'sortings']",1000.0
Pacer,"['greedy', 'math']",900.0
Lasers,['geometry'],800.0
Sublime Sequence,"['brute force', 'hashing', 'math']",800.0
Longest Increasing Path (Hard Version),"['constructive algorithms', 'math']",3500.0
Longest Increasing Path (Easy Version),"['constructive algorithms', 'math']",3300.0
Maxflow GCD Coloring,"['constructive algorithms', 'flows', 'graphs']",3500.0
Modular Tetration,"['combinatorics', 'math', 'number theory']",3100.0
Exchange Queries,"['combinatorics', 'data structures', 'greedy']",2800.0
Maximum OR Popcount,"['binary search', 'bitmasks', 'brute force', 'data structures', 'greedy']",2300.0
Game on Array,"['games', 'greedy']",1700.0
Rabbits,"['constructive algorithms', 'dp', 'greedy', 'implementation']",1500.0
Multiple Construction,['constructive algorithms'],1000.0
Shortest Increasing Path,"['constructive algorithms', 'greedy']",800.0
Bubble Sort,"['brute force', 'combinatorics', 'dp']",2900.0
Yet Another MEX Problem,"['brute force', 'constructive algorithms', 'data structures', 'divide and conquer', 'greedy', 'hashing']",2300.0
Max Sum OR (Hard Version),"['bitmasks', 'constructive algorithms', 'divide and conquer', 'greedy']",2000.0
Max Sum OR (Easy Version),"['bitmasks', 'constructive algorithms', 'divide and conquer', 'greedy', 'trees']",1500.0
Wrong Binary Search,"['binary search', 'constructive algorithms']",1300.0
